# matchedfilter CPU COST table -- FDR and batch-aware relative costs
# format cost-fd-pairs-v1
# cpu     AMD RYZEN AI MAX+ 395 w/ Radeon 8060S
# commit  4c2706e
# Warm public-API cost relative to the widest band for this profile and shape.
# The reference-profile gate model computes accuracy independently.
# U=2 and K=8 are retained as configuration metadata; taps are inert.
# COST n band U K snr fd pairs f beff relative_cost
COST 131072 8192 2 8 5.50 0.001 512 0.805819 5460.169 1.434282
COST 131072 16384 2 8 5.50 0.001 512 0.916724 6964.047 1.481639
COST 131072 32768 2 8 5.50 0.001 512 0.972240 7818.850 1.192175
COST 131072 65536 2 8 5.50 0.001 512 1.000000 8269.841 1.000000
COST 131072 2048 2 8 5.50 0.001 512 0.334152 1456.527 1.988906
COST 131072 4096 2 8 5.50 0.001 512 0.698534 3302.182 1.997575
COST 131072 8192 2 8 5.50 0.001 512 0.883560 4943.763 2.022485
COST 131072 16384 2 8 5.50 0.001 512 0.958440 5786.452 1.553523
COST 131072 32768 2 8 5.50 0.001 512 0.988192 6148.706 0.768897
COST 131072 65536 2 8 5.50 0.001 512 1.000000 6296.317 1.000000
COST 131072 2048 2 8 5.50 0.01 512 0.101363 1161.495 0.732263
COST 131072 4096 2 8 5.50 0.01 512 0.330517 3133.156 0.770586
COST 131072 8192 2 8 5.50 0.01 512 0.556820 6433.428 0.796760
COST 131072 16384 2 8 5.50 0.01 512 0.739558 10405.039 0.813365
COST 131072 32768 2 8 5.50 0.01 512 0.884753 14510.533 0.878991
COST 131072 65536 2 8 5.50 0.01 512 1.000000 18388.750 1.000000
COST 131072 2048 2 8 5.50 0.01 512 0.165475 1248.868 1.182360
COST 131072 4096 2 8 5.50 0.01 512 0.461394 3219.569 1.225454
COST 131072 8192 2 8 5.50 0.01 512 0.695493 5977.928 1.241092
COST 131072 16384 2 8 5.50 0.01 512 0.845646 8515.006 1.304902
COST 131072 32768 2 8 5.50 0.01 512 0.940342 10452.859 1.130728
COST 131072 65536 2 8 5.50 0.01 512 1.000000 11804.351 1.000000
COST 131072 2048 2 8 5.50 0.01 512 0.244680 1346.831 2.034040
COST 131072 4096 2 8 5.50 0.01 512 0.588141 3276.857 2.102269
COST 131072 8192 2 8 5.50 0.01 512 0.805819 5460.169 2.074629
COST 131072 16384 2 8 5.50 0.01 512 0.916724 6964.047 1.680774
COST 131072 32768 2 8 5.50 0.01 512 0.972240 7818.850 0.803465
COST 131072 65536 2 8 5.50 0.01 512 1.000000 8269.841 1.000000
COST 131072 2048 2 8 5.50 0.01 512 0.334152 1456.527 2.268625
COST 131072 4096 2 8 5.50 0.01 512 0.698534 3302.182 2.233981
COST 131072 8192 2 8 5.50 0.01 512 0.883560 4943.763 1.966298
COST 131072 16384 2 8 5.50 0.01 512 0.958440 5786.452 0.804534
COST 131072 32768 2 8 5.50 0.01 512 0.988192 6148.706 0.562672
COST 131072 65536 2 8 5.50 0.01 512 1.000000 6296.317 1.000000
COST 131072 2048 2 8 6.00 0.0001 512 0.101363 1161.495 0.730878
COST 131072 4096 2 8 6.00 0.0001 512 0.330517 3133.156 0.753710
COST 131072 8192 2 8 6.00 0.0001 512 0.556820 6433.428 0.766351
COST 131072 16384 2 8 6.00 0.0001 512 0.739558 10405.039 0.793487
COST 131072 32768 2 8 6.00 0.0001 512 0.884753 14510.533 0.861591
COST 131072 65536 2 8 6.00 0.0001 512 1.000000 18388.750 1.000000
COST 131072 2048 2 8 6.00 0.0001 512 0.165475 1248.868 1.005688
COST 131072 4096 2 8 6.00 0.0001 512 0.461394 3219.569 1.001620
COST 131072 8192 2 8 6.00 0.0001 512 0.695493 5977.928 1.073400
COST 131072 16384 2 8 6.00 0.0001 512 0.845646 8515.006 1.057667
COST 131072 32768 2 8 6.00 0.0001 512 0.940342 10452.859 1.146158
COST 131072 65536 2 8 6.00 0.0001 512 1.000000 11804.351 1.000000
COST 131072 2048 2 8 6.00 0.0001 512 0.244680 1346.831 1.998985
COST 131072 4096 2 8 6.00 0.0001 512 0.588141 3276.857 2.040193
COST 131072 8192 2 8 6.00 0.0001 512 0.805819 5460.169 2.051360
COST 131072 16384 2 8 6.00 0.0001 512 0.916724 6964.047 2.170100
COST 131072 32768 2 8 6.00 0.0001 512 0.972240 7818.850 1.177166
COST 131072 65536 2 8 6.00 0.0001 512 1.000000 8269.841 1.000000
COST 131072 2048 2 8 6.00 0.0001 512 0.334152 1456.527 2.496071
COST 131072 4096 2 8 6.00 0.0001 512 0.698534 3302.182 2.515655
COST 131072 8192 2 8 6.00 0.0001 512 0.883560 4943.763 2.615579
